timestamp,label,shoulder_pitch,shoulder_roll,shoulder_gyro,upper_arm_pitch,upper_arm_roll,upper_arm_gyro,forearm_pitch,forearm_roll,forearm_gyro,fused_angle
1775129615.7877,too_deep,-50.254,-154.268,141.011,-59.214,-12.33,20.581,71.359,-170.692,62.112,120.56
1775129617.3513,too_deep,-49.761,-154.299,140.503,-60.401,-8.478,20.208,70.616,-175.911,61.614,119.35
1775129625.0679,too_deep,-67.136,152.961,148.169,-75.365,-73.614,29.135,67.929,-135.681,63.682,120.77
1775129626.6397,too_deep,-45.778,-152.655,148.852,-59.955,-10.544,28.74,69.514,-163.133,63.554,126.89
1775129628.2189,too_deep,-46.402,-152.987,149.525,-62.94,-9.372,28.236,70.623,-164.654,64.142,128.97
1775129629.8628,too_deep,-47.386,-151.989,149.449,-63.921,-9.292,29.582,73.081,-159.266,64.317,127.41
1775129631.428,too_deep,-49.718,-152.587,150.255,-65.344,-7.664,29.877,75.17,-161.802,63.974,126.27
1775129633.0071,too_deep,-50.108,-152.731,143.663,-67.186,-3.174,20.928,75.921,-167.211,61.316,121.79
1775129634.5741,too_deep,-50.768,-151.449,142.731,-66.938,-6.165,20.754,76.85,-161.466,61.69,110.83
1775129636.1969,too_deep,-50.4,-152.775,142.955,-67.666,-3.824,21.541,76.96,-166.073,61.313,111.68
1775129637.769,too_deep,-50.755,-154.099,142.887,-67.993,0.154,20.358,77.501,-174.442,61.486,115.14
1775129639.3335,too_deep,-48.009,-154.47,142.154,-66.741,-0.626,20.597,76.983,-168.022,61.962,116.24
1775129640.9074,too_deep,-49.93,-152.583,141.909,-67.798,-0.926,20.875,77.285,-155.384,62.976,115.78
1775129642.5621,too_deep,-50.087,-153.607,141.376,-66.863,-2.18,21.938,77.069,-173.324,62.041,116.6
1775129644.1323,too_deep,-50.272,-152.787,140.813,-69.149,4.58,20.655,78.134,179.645,62.576,116.14
1775129645.7062,too_deep,-50.918,-154.554,140.596,-70.313,-1.929,20.501,77.872,171.456,62.42,114.58
